qtr;time_remaining;result;shot_type;distance_ft;lead
2nd Qtr;0:07;True;3;26;True
3rd Qtr;10:10;False;3;26;True
3rd Qtr;7:35;False;3;27;True
3rd Qtr;6:02;True;2;5;True
3rd Qtr;5:43;False;2;5;True
3rd Qtr;3:44;False;3;26;True
3rd Qtr;1:40;True;3;30;True
4th Qtr;6:48;True;3;26;True
4th Qtr;6:20;False;3;29;True
4th Qtr;3:45;True;3;26;True
4th Qtr;2:28;False;3;27;True
4th Qtr;2:10;True;3;27;True
1st Qtr;11:14;False;2;21;False
1st Qtr;4:02;False;3;28;False
1st Qtr;3:40;True;2;5;False
1st Qtr;3:12;False;3;28;False
1st Qtr;1:13;False;3;26;False
1st Qtr;0:01;False;2;12;False
2nd Qtr;0:50;False;3;31;False
3rd Qtr;11:06;False;3;27;False
3rd Qtr;5:51;False;2;5;False
3rd Qtr;5:13;True;3;26;False
3rd Qtr;3:20;False;2;7;False
3rd Qtr;3:03;True;3;30;False
3rd Qtr;1:44;False;2;23;False
4th Qtr;3:30;False;3;28;False
4th Qtr;1:20;False;2;6;False
4th Qtr;1:06;False;3;26;False
4th Qtr;0:34;False;3;24;False
1st Qtr;10:14;False;2;12;True
1st Qtr;6:17;False;2;7;False
1st Qtr;3:40;False;3;30;True
1st Qtr;2:00;True;3;27;True
1st Qtr;0:30;True;2;4;True
1st Qtr;0:01;True;3;31;True
2nd Qtr;4:19;True;3;30;True
2nd Qtr;2:48;True;2;19;True
2nd Qtr;0:28;True;3;32;True
3rd Qtr;11:14;True;2;15;True
3rd Qtr;10:49;True;3;27;True
3rd Qtr;7:30;False;3;31;True
3rd Qtr;3:43;True;2;5;True
3rd Qtr;2:46;False;3;28;True
3rd Qtr;0:50;False;2;5;True
4th Qtr;7:21;False;2;4;True
4th Qtr;7:18;True;2;0;True
4th Qtr;6:19;False;3;29;True
4th Qtr;3:51;True;3;27;True
4th Qtr;3:24;True;2;18;True
4th Qtr;2:41;False;3;27;True
1st Qtr;5:11;False;3;27;False
1st Qtr;1:43;True;3;30;False
1st Qtr;0:38;True;3;28;False
1st Qtr;0:17;False;2;2;False
2nd Qtr;4:58;True;2;13;False
2nd Qtr;4:37;False;3;26;False
2nd Qtr;4:02;False;3;27;False
2nd Qtr;2:57;False;2;15;False
2nd Qtr;0:38;False;2;3;False
2nd Qtr;0:01;False;3;26;False
3rd Qtr;9:56;False;3;27;False
3rd Qtr;9:35;False;2;8;False
3rd Qtr;8:56;True;2;2;False
3rd Qtr;5:51;True;3;27;False
3rd Qtr;4:51;False;3;27;False
3rd Qtr;4:07;True;2;15;False
3rd Qtr;3:13;False;3;25;False
1st Qtr;11:44;True;2;14;True
1st Qtr;7:53;True;3;25;True
1st Qtr;6:59;True;2;4;True
1st Qtr;5:02;True;3;23;True
1st Qtr;4:37;False;3;28;True
1st Qtr;3:15;True;2;3;True
1st Qtr;0:48;False;3;25;True
2nd Qtr;4:35;True;2;2;False
2nd Qtr;2:40;False;2;2;False
2nd Qtr;1:51;False;3;30;False
2nd Qtr;1:11;True;2;0;False
2nd Qtr;0:49;True;3;30;False
2nd Qtr;0:01;True;3;25;False
3rd Qtr;6:56;True;3;30;False
3rd Qtr;6:06;False;2;3;False
3rd Qtr;4:16;True;2;3;False
3rd Qtr;3:43;False;3;30;False
3rd Qtr;3:13;False;2;2;False
3rd Qtr;2:20;False;3;27;False
1st Qtr;10:07;False;3;29;False
1st Qtr;9:23;False;3;23;False
1st Qtr;8:57;True;3;26;False
1st Qtr;7:02;False;2;6;True
1st Qtr;6:38;True;2;8;True
2nd Qtr;9:42;False;3;26;False
2nd Qtr;8:39;False;2;3;False
2nd Qtr;7:16;False;2;11;False
2nd Qtr;7:11;False;3;22;False
3rd Qtr;6:32;True;3;26;False
4th Qtr;10:32;False;3;26;False
4th Qtr;10:20;False;3;26;False
4th Qtr;8:20;False;3;32;False
4th Qtr;7:45;True;2;5;False
4th Qtr;6:35;False;2;13;False
4th Qtr;5:43;True;3;29;False
4th Qtr;4:22;True;3;31;False
4th Qtr;3:45;True;3;25;False
4th Qtr;3:05;True;2;6;False
4th Qtr;2:12;False;3;27;False
4th Qtr;0:40;False;3;33;False
4th Qtr;0:36;False;3;28;False
1st Qtr;9:08;True;2;1;True
1st Qtr;8:32;True;3;27;True
1st Qtr;7:42;True;2;1;True
1st Qtr;6:39;False;3;23;True
1st Qtr;4:21;False;3;27;True
2nd Qtr;5:49;False;3;26;True
2nd Qtr;3:51;True;2;3;True
3rd Qtr;9:55;False;3;26;True
3rd Qtr;7:01;True;3;27;True
3rd Qtr;6:43;False;3;27;True
3rd Qtr;5:20;True;2;2;True
3rd Qtr;4:56;False;2;3;True
1st Qtr;5:34;True;3;27;False
1st Qtr;5:04;False;3;28;False
1st Qtr;2:59;True;2;9;False
2nd Qtr;7:20;False;3;26;False
2nd Qtr;4:31;True;3;25;False
2nd Qtr;1:48;False;3;31;False
2nd Qtr;1:30;False;3;26;False
2nd Qtr;0:29;True;3;24;True
3rd Qtr;10:01;True;2;13;True
4th Qtr;9:30;False;3;25;False
4th Qtr;8:55;True;2;1;False
4th Qtr;8:31;True;2;18;False
4th Qtr;8:06;True;2;1;False
4th Qtr;6:56;False;3;27;False
4th Qtr;6:16;False;3;23;False
1st Qtr;11:12;False;3;25;False
1st Qtr;9:10;True;3;27;False
1st Qtr;8:28;False;2;12;False
1st Qtr;5:53;True;2;11;True
1st Qtr;5:00;False;3;27;False
1st Qtr;1:56;True;3;28;True
1st Qtr;0:59;True;2;2;True
1st Qtr;0:34;False;3;31;True
1st Qtr;0:06;False;2;17;True
2nd Qtr;4:20;False;2;5;False
2nd Qtr;3:33;False;3;30;False
2nd Qtr;1:52;False;2;15;False
2nd Qtr;0:35;True;2;7;True
3rd Qtr;10:38;True;2;17;True
3rd Qtr;10:13;False;3;26;True
3rd Qtr;7:08;False;3;25;False
3rd Qtr;5:12;False;3;27;False
3rd Qtr;4:43;False;2;15;False
3rd Qtr;3:47;True;3;28;False
3rd Qtr;3:12;False;2;4;False
3rd Qtr;2:28;True;3;25;False
3rd Qtr;1:11;False;2;9;False
3rd Qtr;1:06;False;3;30;False
4th Qtr;5:54;True;3;28;True
4th Qtr;5:07;True;2;8;True
4th Qtr;3:58;True;3;28;True
4th Qtr;2:01;True;2;22;True
4th Qtr;1:31;False;3;28;True
1st Qtr;8:39;False;2;14;False
1st Qtr;7:22;False;3;23;True
1st Qtr;6:55;False;3;27;False
1st Qtr;2:56;True;3;26;False
1st Qtr;2:25;False;2;16;False
1st Qtr;1:37;False;3;29;False
1st Qtr;0:42;True;3;26;True
2nd Qtr;4:53;False;3;28;False
2nd Qtr;3:04;True;3;26;True
2nd Qtr;1:35;True;2;21;False
3rd Qtr;10:48;True;2;20;True
3rd Qtr;9:57;False;3;28;True
3rd Qtr;4:35;True;3;24;True
3rd Qtr;3:49;False;3;26;True
3rd Qtr;3:09;False;2;18;True
4th Qtr;6:58;False;3;26;True
4th Qtr;6:23;False;2;4;True
4th Qtr;5:32;False;3;26;True
4th Qtr;2:33;False;3;23;True
4th Qtr;2:04;False;3;25;True
4th Qtr;0:28;True;2;4;True
4th Qtr;0:01;False;3;25;False
1st OT;2:42;True;3;26;True
1st OT;0:55;False;3;26;False
1st Qtr;10:38;True;2;6;False
1st Qtr;5:51;True;2;3;False
